ZIP_CODE,CITY_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,STATE_CODE,EXPECTED_ANNUAL_LOSS,RESILIENCE_SCORE,SOCIAL_VULNERABILITY_SCORE,AVG_CURRENT_COST_INSURANCE,AVG_COST_RISK_BASED_INSURANCE,AVG_LISTING_PRICE_REALTOR,CLIMATE_INVESTMENT_RISK_INDEX,UPDATED_AT
90018,Los Angeles,Los Angeles County,06037,CA,599253.94473885,15.43999956,89.918519999,797,4062,1056849,17.782076183,2025-07-31
90280,South Gate,Los Angeles County,06037,CA,1004507.691993273,15.439999579,85.27926181,1028,2229,712851,25.644287916,2025-07-31
90744,Wilmington,Los Angeles County,06037,CA,739065.264705293,15.439999599,84.255332586,1028,2229,700730,21.794621995,2025-07-31
90066,Los Angeles,Los Angeles County,06037,CA,874588.346902907,15.439999577,53.824480734,794,2036,2345855,27.450137907,2025-07-31
90703,Cerritos,Los Angeles County,06037,CA,2036169.67586878,15.439248518,43.141591668,723,1794,1208291,39.973781848,2025-07-31
90044,Los Angeles,Los Angeles County,06037,CA,547526.456236176,15.439999548,93.384397588,664,861,704288,19.966706445,2025-07-31
91350,Santa Clarita,Los Angeles County,06037,CA,2356937.22127148,15.439999599,36.862796384,1144,1801,940543,44.122312698,2025-07-31
90034,Los Angeles,Los Angeles County,06037,CA,760826.045531485,15.439999563,43.319597648,821,3316,1620559,25.592201901,2025-07-31
90808,Long Beach,Los Angeles County,06037,CA,1079420.920588575,15.432361845,22.264945404,687,1787,1171079,46.643420911,2025-07-31
90732,San Pedro,Los Angeles County,06037,CA,732334.191259794,15.439999588,43.397742275,655,1100,946197,39.004365585,2025-07-31
91791,West Covina,Los Angeles County,06037,CA,1033332.748114634,15.439999593,67.448098625,904,1986,1230683,30.217377918,2025-07-31
90712,Lakewood,Los Angeles County,06037,CA,1222626.564980115,15.43999957,42.672770239,710,1193,1024375,39.936081876,2025-07-31
91016,Monrovia,Los Angeles County,06037,CA,1344436.551663655,15.43999959,57.734232747,623,1667,1372093,26.179445103,2025-07-31
91770,Rosemead,Los Angeles County,06037,CA,759283.147741177,15.439999588,73.817058253,1028,2229,993387,29.105641343,2025-07-31
90266,Manhattan Beach,Los Angeles County,06037,CA,1585673.438686397,15.439999568,12.684426858,732,1428,6010552,32.608555527,2025-07-31
90503,Torrance,Los Angeles County,06037,CA,1606947.136519948,15.439999599,49.340626158,1028,2229,1128824,31.993978305,2025-07-31
90278,Redondo Beach,Los Angeles County,06037,CA,1384619.406207964,15.439999582,25.989595121,688,2776,1571584,34.139155757,2025-07-31
90660,Pico Rivera,Los Angeles County,06037,CA,1074705.991938474,15.439999559,69.595881938,761,1126,752907,33.535821377,2025-07-31
90064,Los Angeles,Los Angeles County,06037,CA,1284163.883981405,15.439999593,36.597325337,801,993,2511345,30.444818315,2025-07-31
90221,Compton,Los Angeles County,06037,CA,931404.867865707,15.439999616,92.705020348,598,1171,719696,20.581959759,2025-07-31
90041,Los Angeles,Los Angeles County,06037,CA,666843.662665075,15.439999585,55.064793927,774,1188,1713320,33.463214295,2025-07-31
90723,Paramount,Los Angeles County,06037,CA,1405656.282629612,15.439999563,90.008960885,1028,2229,529654,26.453751519,2025-07-31
91733,South El Monte,Los Angeles County,06037,CA,2271300.061702516,15.439999566,90.796588832,1028,2229,742842,18.671574212,2025-07-31
91321,Newhall,Los Angeles County,06037,CA,1928050.938127769,15.439999566,69.21331795,1288,2689,719147,33.614484779,2025-07-31
91744,La Puente,Los Angeles County,06037,CA,1619572.704412462,15.439999587,70.733259607,1028,2229,767386,34.449613464,2025-07-31
90731,San Pedro,Los Angeles County,06037,CA,633664.431732058,15.439999577,73.484241018,583,1511,941214,23.648398204,2025-07-31
91790,West Covina,Los Angeles County,06037,CA,1311707.314271719,15.439999593,72.427982024,1028,2229,858147,30.567379833,2025-07-31
90262,Lynwood,Los Angeles County,06037,CA,923375.986935215,15.439999546,89.018774185,1180,1482,732329,30.637602342,2025-07-31
90813,Long Beach,Los Angeles County,06037,CA,728806.673688275,15.439999627,96.519954935,1028,2229,541724,20.895951288,2025-07-31
93536,Lancaster,Los Angeles County,06037,CA,1142213.745109256,15.430611583,49.352967309,842,1264,608362,33.180447698,2025-07-31
90003,Los Angeles,Los Angeles County,06037,CA,817716.953448449,15.439999537,94.187854894,1028,2229,599648,19.915972767,2025-07-31
90025,Los Angeles,Los Angeles County,06037,CA,1086650.779731113,15.439999588,37.763259112,840,1180,1280556,28.962244269,2025-07-31
90245,El Segundo,Los Angeles County,06037,CA,3012153.674760053,15.439999585,32.658316129,542,1798,1777541,25.193182716,2025-07-31
90026,Los Angeles,Los Angeles County,06037,CA,667113.094007071,15.439999534,70.982296221,667,865,1549373,22.327578341,2025-07-31
91331,Pacoima,Los Angeles County,06037,CA,718154.013336823,15.439999568,80.381528844,1028,2229,764381,33.858684721,2025-07-31
90230,Culver City,Los Angeles County,06037,CA,2010507.746895605,15.439999556,51.27321453,812,2904,1131143,31.483492443,2025-07-31
91750,La Verne,Los Angeles County,06037,CA,1603583.926313775,15.439999579,61.473055458,661,1890,1344493,31.712523261,2025-07-31
91324,Northridge,Los Angeles County,06037,CA,1832942.18569486,15.439999591,72.600306855,635,748,1077698,21.351685049,2025-07-31
90745,Carson,Los Angeles County,06037,CA,1698344.21638906,15.439999602,69.553949238,1028,2229,730775,30.542605163,2025-07-31
93552,Palmdale,Los Angeles County,06037,CA,948158.949531881,15.439999591,72.89650196,1028,2229,549615,32.090581982,2025-07-31
90250,Hawthorne,Los Angeles County,06037,CA,976354.542043659,15.439999597,77.809608345,662,2311,1020472,22.884638796,2025-07-31
93534,Lancaster,Los Angeles County,06037,CA,1571683.110260766,15.439999566,86.911677568,1388,3002,447647,21.537686179,2025-07-31
90028,Los Angeles,Los Angeles County,06037,CA,1316306.767896926,15.439999537,77.798508553,1028,2229,1119139,13.651105888,2025-07-31
90260,Lawndale,Los Angeles County,06037,CA,738460.483862871,15.439999582,77.247046025,1028,2229,751220,32.357324606,2025-07-31
90638,La Mirada,Los Angeles County,06037,CA,1269548.074723347,15.380171522,48.550322092,945,2718,895288,41.230026573,2025-07-31
91307,West Hills,Los Angeles County,06037,CA,1333462.107935617,17.047817205,33.034114573,763,1373,1763146,40.332176537,2025-07-31
91304,Canoga Park,Los Angeles County,06037,CA,1143541.777701085,15.559718935,66.731891176,692,1566,1031448,26.949612426,2025-07-31
91505,Burbank,Los Angeles County,06037,CA,1811713.65127714,15.439999608,39.742694753,773,3041,1240165,31.433733543,2025-07-31
90815,Long Beach,Los Angeles County,06037,CA,882542.469101257,15.429633233,30.064960265,742,3578,1111991,40.682671205,2025-07-31
90505,Torrance,Los Angeles County,06037,CA,1955092.441756206,15.439999553,57.441464738,623,1813,1543136,24.840236428,2025-07-31
91767,Pomona,Los Angeles County,06037,CA,1124500.889004801,15.439999585,85.328499535,1028,2229,715655,29.674231893,2025-07-31
93610,Chowchilla,Madera County,06039,CA,738176.180214946,9.292056666,72.23371573,591,618,444792,21.46476004,2025-07-31
93604,Bass Lake,Madera County,06039,CA,2770503.266225487,9.279999724,61.571888862,1028,2229,1193744,15.04965126,2025-07-31
93637,Madera,Madera County,06039,CA,1390924.79116665,9.279999742,75.980358696,920,1290,494116,24.886982414,2025-07-31
93601,Ahwahnee,Madera County,06039,CA,3782239.702574827,9.701621339,65.79372309,1028,2229,703747,21.602325671,2025-07-31
93653,Raymond,Madera County,06039,CA,1978999.608324285,10.169502927,61.775397929,1028,2229,924318,22.814446439,2025-07-31
