yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2021,95910,21438,15,06091,,,,,,,,,,,,,,,,,,,,,1429.2
2018,95910,17538,14,06091,6.16,239.2,CALIFORNIA,0.0,0.0,0.0,0.277295969701552,-0.5,19.0,9.49,0.0,0.0,0.0,94635,6.0,1.0,6091.0,35.0,9635000.0,2961.0,1252.7142857142858
2019,95910,18092,14,06091,1.02,241.65,CALIFORNIA,0.0,0.0,0.0,0.2715031113569329,1.34,26.0,109.37,0.0,0.0,0.0,97770,5.4,1.0,6091.0,33.0,8525000.0,2959.0,1292.2857142857142
2020,95910,19498,16,06091,2.2,246.96,CALIFORNIA,0.0,0.0,0.0,0.2439027138935122,-2.0,34.0,47175.0,0.0,0.0,0.0,91114,8.3,1.002,6091.0,31.0,8615000.0,3229.0,1218.625
2018,95912,646967,788,06011,8.38,347.86,CALIFORNIA,0.0,0.0,0.0,0.4365705192302086,-2.2,9.0,85.0,0.0,0.0,0.0,1483162,13.2,1.076,6011.0,140.0,36990000.0,21389.0,821.024111675127
2019,95912,695891,794,06011,7.53,374.05,CALIFORNIA,4.0,20000.0,60.0,0.5062884938368652,0.84,4.0,23.9,0.0,0.0,0.0,1325940,12.9,1.099,6011.0,162.0,40330000.0,21474.0,876.4370277078085
2020,95912,776587,813,06011,3.19,385.97,CALIFORNIA,0.0,0.0,0.0,0.493022781046983,-3.25,9.0,629.36,0.0,0.0,0.0,1495139,16.4,1.1,6011.0,199.0,55365000.0,21868.0,955.2115621156212
2021,95912,848121,828,06011,,,,,,,,,,,,,,,,,,,,,1024.3007246376812
2021,95913,57753,53,06021,,,,,,,,,,,,,,,,,,,,,1089.6792452830189
2018,95913,40981,49,06021,8.64,354.93,CALIFORNIA,0.0,0.0,0.0,0.4142653962592252,-2.67,6.0,2500.24,0.0,0.0,0.0,1118281,6.6,1.102,6021.0,211.0,44675000.0,27899.0,836.3469387755102
2019,95913,44058,50,06021,15.16,408.74,CALIFORNIA,4.0,0.0,20.55,0.4857711814396441,1.04,1.0,4.4,0.0,0.0,0.0,1023509,6.2,1.084,6021.0,207.0,48145000.0,28445.0,881.16
2020,95913,50136,54,06021,3.23,421.96,CALIFORNIA,0.0,0.0,0.0,0.4820679049012049,-3.48,25.0,591834.59,0.0,0.0,0.0,1054825,9.0,1.108,6021.0,195.0,50975000.0,28889.0,928.4444444444445
2018,95914,168612,121,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,1393.4876033057851
2019,95914,178562,122,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,1463.622950819672
2020,95914,195947,120,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,1632.8916666666667
2021,95914,212377,118,06007,,,,,,,,,,,,,,,,,,,,,1799.8050847457628
2021,95915,4562,3,06063,,,,,,,,,,,,,,,,,,,,,1520.6666666666667
2018,95915,6418,4,06063,5.05,443.52,CALIFORNIA,0.0,0.0,0.0,0.2954515348068507,-0.65,71.0,264.56,0.0,0.0,0.0,918785,7.6,1.088,6063.0,206.0,46200000.0,18830.0,1604.5
2019,95915,7146,4,06063,6.95,474.36,CALIFORNIA,0.0,0.0,0.0,0.284316065444378,1.48,60.0,54772.18,0.0,0.0,0.0,1021637,7.8,1.089,6063.0,195.0,43565000.0,19052.0,1786.5
2020,95915,7824,4,06063,3.11,489.11,CALIFORNIA,0.0,0.0,0.0,0.2594350309899302,-1.94,114.0,360985.56,0.0,0.0,0.0,895325,11.0,1.108,6063.0,239.0,61465000.0,19761.0,1956.0
2018,95916,372908,290,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,1285.8896551724138
2019,95916,405054,290,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,1396.7379310344827
2020,95916,669888,448,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,1495.2857142857142
2021,95916,301996,216,06007,,,,,,,,,,,,,,,,,,,,,1398.1296296296296
2018,95917,499380,621,06007,7.55,792.19,CALIFORNIA,10.0,0.0,106.88,0.4662372384943055,-2.28,224.0,155789.77,0.0,0.0,0.0,9272932,5.1,1.102,6007.0,2229.0,580845000.0,230330.0,804.1545893719807
2019,95917,545467,639,06007,13.0,895.21,CALIFORNIA,33.0,390000.0,285.63,0.5102581387356535,1.58,122.0,954.38,0.0,0.0,0.0,9457300,5.1,1.115,6007.0,2196.0,574520000.0,218726.0,853.6259780907668
2020,95917,622017,653,06007,1.77,911.06,CALIFORNIA,2.0,15000.0,2.73,0.5106048083207178,-1.98,210.0,25495.32,0.0,0.0,0.0,8910788,9.4,1.113,6007.0,2195.0,685645000.0,210222.0,952.5528330781011
2021,95917,696166,653,06007,,,,,,,,,,,,,,,,,,,,,1066.104134762634
