FIPS,year,deaths,injuries,damage
22117.0,2008,0.0,0.0,37500
22117.0,2012,0.0,0.0,3250000
22117.0,2021,0.0,0.0,10000000
22119.0,2005,0.0,0.0,0
22121.0,2002,0.0,0.0,5540000
22121.0,2005,0.0,0.0,1700000
22121.0,2008,0.0,0.0,1700000
22121.0,2012,0.0,0.0,100000
22121.0,2021,0.0,0.0,10000000
22123.0,2005,0.0,0.0,2950000
22125.0,2002,0.0,0.0,5540000
22125.0,2005,0.0,0.0,1700000
22125.0,2008,0.0,0.0,520000
22125.0,2012,0.0,0.0,585000
22125.0,2021,0.0,0.0,5000000
22127.0,2005,0.0,0.0,0
22127.0,2020,0.0,0.0,0
28001.0,2002,0.0,0.0,0
28001.0,2005,0.0,2.0,120260000
28005.0,2005,0.0,0.0,73000000
28005.0,2008,0.0,0.0,250000
28005.0,2021,0.0,0.0,1000000
28007.0,2002,0.0,0.0,0
28007.0,2005,0.0,0.0,70000000
28011.0,2005,0.0,0.0,5910000
28015.0,2002,0.0,0.0,0
28015.0,2005,0.0,0.0,16060000
28019.0,2005,0.0,0.0,85250000
28021.0,2005,0.0,0.0,35140000
28023.0,2004,0.0,0.0,125050
28023.0,2005,0.0,0.0,140350000
28025.0,2004,0.0,0.0,125050
28025.0,2005,0.0,0.0,11150000
28029.0,2005,0.0,20.0,115060000
28031.0,2002,0.0,0.0,0
28031.0,2004,0.0,0.0,125050
28031.0,2005,0.0,10.0,250000000
28035.0,2004,0.0,0.0,125050
28035.0,2005,0.0,0.0,840170000
28037.0,2005,0.0,0.0,25640000
28039.0,2004,0.0,0.0,200000
28039.0,2005,0.0,0.0,0
28041.0,2004,0.0,0.0,0
28041.0,2005,0.0,0.0,0
28043.0,2005,0.0,4.0,11070000
28045.0,2004,0.0,0.0,640000
28045.0,2005,56.0,0.0,1470000000
28045.0,2008,0.0,0.0,750000
28045.0,2020,0.0,0.0,40000000
28045.0,2021,0.0,0.0,3000000
28047.0,2004,0.0,0.0,1200000
28047.0,2005,97.0,0.0,2940000000
28047.0,2008,0.0,0.0,6500000
28047.0,2020,1.0,0.0,40000000
28047.0,2021,0.0,0.0,2000000
28049.0,2002,0.0,0.0,0
28049.0,2005,1.0,0.0,520120000
28051.0,2005,0.0,0.0,16110000
28053.0,2005,0.0,0.0,8730000
28055.0,2005,0.0,0.0,15310000
28059.0,2004,0.0,0.0,6000000
28059.0,2005,13.0,0.0,1100000000
28059.0,2008,0.0,0.0,250000
28059.0,2017,0.0,0.0,0
28059.0,2020,0.0,0.0,10000000
28061.0,2002,0.0,0.0,0
28061.0,2004,0.0,0.0,125050
28061.0,2005,0.0,2.0,200250000
28063.0,2005,0.0,0.0,45240000
28065.0,2005,0.0,0.0,165030000
28067.0,2004,0.0,0.0,125050
28067.0,2005,10.0,0.0,830250000
28069.0,2004,0.0,0.0,125050
28069.0,2005,0.0,2.0,138600000
28073.0,2004,0.0,0.0,125050
28073.0,2005,0.0,10.0,480000000
28075.0,2004,0.0,0.0,125050
28075.0,2005,1.0,10.0,501000000
28077.0,2005,0.0,0.0,140030000
28079.0,2002,0.0,0.0,0
28079.0,2005,1.0,0.0,130000000
28083.0,2002,0.0,0.0,71430
28083.0,2005,0.0,0.0,13110000
28085.0,2005,0.0,0.0,135030000
28087.0,2004,0.0,0.0,125050
28087.0,2005,0.0,0.0,110300000
28089.0,2002,0.0,0.0,71430
28089.0,2005,0.0,0.0,275040000
28091.0,2004,0.0,0.0,125050
28091.0,2005,0.0,0.0,365020000
28097.0,2005,0.0,1.0,60070000
28099.0,2004,0.0,0.0,125050
28099.0,2005,0.0,0.0,150230000
28101.0,2004,0.0,0.0,125050
28101.0,2005,0.0,2.0,150300000
28103.0,2004,0.0,0.0,125050
28103.0,2005,0.0,0.0,45250000
28105.0,2004,0.0,0.0,125050
28105.0,2005,0.0,0.0,115150000
28109.0,2004,0.0,0.0,160000
28109.0,2005,0.0,0.0,1100000000
28109.0,2008,0.0,0.0,250000
28109.0,2021,0.0,0.0,1000000
28111.0,2004,0.0,0.0,0
28111.0,2005,0.0,0.0,0
28113.0,2005,0.0,0.0,294000000
28113.0,2008,0.0,0.0,500000
28113.0,2021,0.0,0.0,1000000
28121.0,2005,0.0,40.0,325030000
28123.0,2002,0.0,0.0,71430
28123.0,2005,0.0,0.0,145000000
28125.0,2005,0.0,0.0,15510000
28127.0,2005,1.0,0.0,140060000
28129.0,2002,0.0,0.0,71430
28129.0,2005,0.0,0.0,150000000
28131.0,2004,0.0,0.0,0
28131.0,2005,0.0,0.0,250000000
28133.0,2005,0.0,0.0,5660000
28147.0,2005,0.0,0.0,367000000
28147.0,2008,0.0,0.0,200000
28147.0,2021,0.0,0.0,1000000
28149.0,2002,0.0,0.0,71430
28149.0,2005,1.0,0.0,120090000
28151.0,2002,0.0,0.0,71430
28151.0,2005,0.0,0.0,8715000
28153.0,2004,0.0,0.0,0
28153.0,2005,0.0,0.0,0
28155.0,2005,0.0,0.0,26130000
28157.0,2005,0.0,0.0,3400000
28157.0,2008,0.0,0.0,10690000
