county_fips5,yr,index_nsa
05037,2024,305.38
05041,2021,163.04
05041,2022,149.61
05041,2023,
05041,2024,176.73
05043,2021,219.05
05043,2022,233.08
05043,2023,255.99
05043,2024,255.25
05045,2021,350.95
05045,2022,402.4
05045,2023,436.26
05045,2024,460.93
05047,2021,169.99
05047,2022,205.56
05047,2023,230.23
05047,2024,245.57
05049,2021,148.84
05049,2022,190.87
05049,2023,209.49
05049,2024,182.16
05051,2021,253.68
05051,2022,301.36
05051,2023,327.61
05051,2024,339.56
05053,2021,179.86
05053,2022,212.4
05053,2023,233.8
05053,2024,239.08
05055,2021,230.06
05055,2022,259.97
05055,2023,277.21
05055,2024,285.43
05057,2021,169.13
05057,2022,198.29
05057,2023,204.14
05057,2024,235.18
05059,2021,186.85
05059,2022,225.73
05059,2023,219.21
05059,2024,263.95
05061,2021,178.34
05061,2022,176.39
05061,2023,235.9
05061,2024,209.32
05063,2021,222.61
05063,2022,258.74
05063,2023,269.84
05063,2024,295.24
05065,2021,166.67
05065,2022,190.76
05065,2023,231.68
05065,2024,220.49
05067,2021,153.84
05067,2022,177.35
05067,2023,191.73
05067,2024,191.79
05069,2021,290.3
05069,2022,326.36
05069,2023,351.43
05069,2024,356.33
05071,2021,171.89
05071,2022,201.4
05071,2023,221.35
05071,2024,232.58
05075,2021,163.75
05075,2022,178.43
05075,2023,199.79
05075,2024,215.54
05079,2021,179.19
05079,2022,201.04
05079,2023,
05079,2024,187.77
05081,2021,156.19
05081,2022,171.01
05081,2023,196.33
05081,2024,203.65
05083,2021,181.4
05083,2022,218.92
05083,2023,224.34
05083,2024,237.46
05085,2021,248.68
05085,2022,287.3
05085,2023,314.34
05085,2024,327.43
05087,2021,180.45
05087,2022,222.82
05087,2023,243.59
05087,2024,253.3
05089,2021,180.28
05089,2022,216.38
05089,2023,230.01
05089,2024,258.29
05091,2021,232.85
05091,2022,265.54
05091,2023,266.82
05091,2024,276.95
05093,2021,269.32
05093,2022,302.28
05093,2023,315.97
05093,2024,362.64
05097,2021,212.02
05097,2022,252.95
05097,2023,
05097,2024,
05101,2021,177.88
05101,2022,245.18
05101,2023,
05101,2024,
05103,2021,195.93
05103,2022,232.79
05103,2023,252.36
05103,2024,240.36
05105,2021,140.68
05105,2022,149.28
05105,2023,151.62
05105,2024,188.56
05107,2021,159.19
05107,2022,175.23
05107,2023,
05107,2024,165.75
05109,2021,154.02
05109,2022,174.67
05109,2023,
05109,2024,214.99
05111,2021,194.64
05111,2022,202.24
05111,2023,247.97
05111,2024,264.92
05113,2021,186.06
05113,2022,225.05
05113,2023,238.14
05113,2024,265.03
05115,2021,274.74
05115,2022,311.55
05115,2023,333.13
05115,2024,349.9
05119,2021,506.87
05119,2022,575.2
05119,2023,618.65
05119,2024,642.75
05121,2021,170.67
05121,2022,208.13
05121,2023,212.51
05121,2024,222.88
05123,2021,141.46
05123,2022,133.09
05123,2023,178.7
05123,2024,180.67
05125,2021,231
05125,2022,264.31
05125,2023,287.39
05125,2024,294.81
05127,2021,148
05127,2022,156.92
05127,2023,157.07
05127,2024,173.69
05129,2021,132.86
05129,2022,141.84
05129,2023,151.87
05129,2024,
05131,2021,438.28
05131,2022,505.42
05131,2023,558.29
05131,2024,583.5
05133,2021,185.69
05133,2022,207.69
05133,2023,219.94
05133,2024,235.03
05135,2021,172.39
05135,2022,193.95
05135,2023,236.81
05135,2024,238.24
05137,2021,173.05
05137,2022,194.64
05137,2023,234.3
05137,2024,223.3
05139,2021,198.41
05139,2022,212.5
05139,2023,222.38
05139,2024,234.57
05141,2021,162.82
05141,2022,181.61
05141,2023,219.96
05141,2024,203.79
05143,2021,611
05143,2022,742.12
05143,2023,817.68
05143,2024,860.06
05145,2021,273.49
05145,2022,313.83
05145,2023,343.17
05145,2024,368.6
05147,2021,141.37
05147,2022,
05147,2023,
05147,2024,
05149,2021,165.72
05149,2022,182.86
05149,2023,197.39
05149,2024,216.73
06001,2021,2235.72
06001,2022,2533.43
06001,2023,2542.57
06001,2024,2571.78
06003,2021,267.45
06003,2022,287.33
06003,2023,
06003,2024,
06005,2021,420.47
06005,2022,466.96
06005,2023,464.38
06005,2024,462.32
06007,2021,1006.09
06007,2022,1108.77
06007,2023,1090.7
06007,2024,1123.71
06009,2021,490.73
06009,2022,562.54
06009,2023,552.6
06009,2024,572.72
06011,2021,431.39
06011,2022,492.93
06011,2023,483.47
06011,2024,513.23
06013,2021,1632.1
06013,2022,1870.36
06013,2023,1842.13
06013,2024,1881.22
06015,2021,582.6
06015,2022,682.63
06015,2023,695.9
06015,2024,758.14
06017,2021,1102.29
06017,2022,1248.04
06017,2023,1237.78
06017,2024,1259.12
06019,2021,897.48
06019,2022,1053.51
06019,2023,1084.09
06019,2024,1142.29
06021,2021,470.64
06021,2022,530.86
06021,2023,512.85
06021,2024,512.26
06023,2021,960.35
06023,2022,1114.09
06023,2023,1161.64
06023,2024,1150.39
06025,2021,479.46
06025,2022,546.8
06025,2023,577.01
06025,2024,631.46
06027,2021,679.33
06027,2022,837
06027,2023,873.4
06027,2024,895.14
06029,2021,753.82
06029,2022,883.18
06029,2023,928.76
06029,2024,971.25
06031,2021,858.9
06031,2022,984.19
06031,2023,1031.04
06031,2024,1072
06033,2021,531.54
06033,2022,580.13
06033,2023,591.66
06033,2024,584.35
06035,2021,348.92
06035,2022,379.41
06035,2023,384.86
06035,2024,379.04
06037,2021,1857.82
06037,2022,2145.79
06037,2023,2219.22
06037,2024,2356.07
06039,2021,883.53
06039,2022,1043.65
06039,2023,1067.58
06039,2024,1134.38
06041,2021,1773.17
06041,2022,1995.65
06041,2023,2082.92
06041,2024,2111.51
06043,2021,484.05
06043,2022,564.34
06043,2023,542.4
