zip,county_fips5,yr,hpi_change,hpi,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,unemployment_rate,prop_rate,county_fips,home_purchase_per_cap,amt_purchase_per_cap,Earned Prem,Earned Exp,prem_per_unit
90094,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90095,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90099,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90201,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90202,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90209,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90210,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90211,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90212,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90213,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90220,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90221,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90222,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90223,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90224,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
