cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
11100,"Amarillo, TX",48381,Randall County,Texas,"Amarillo, TX",11100,2023,285.4975,270.71000000000004,14.787499999999966,5.462487532784155
11100,"Amarillo, TX",48381,Randall County,Texas,"Amarillo, TX",11100,2024,293.6775,285.4975,8.180000000000007,2.8651739507351337
11100,"Amarillo, TX",48381,Randall County,Texas,"Amarillo, TX",11100,2025,299.03499999999997,293.6775,5.357499999999959,1.8242800350724675
11180,"Ames, IA",19015,Boone County,Iowa,"Ames, IA",11180,2022,266.77250000000004,238.13,28.64250000000004,12.02809389829087
11180,"Ames, IA",19015,Boone County,Iowa,"Ames, IA",11180,2023,286.5375,266.77250000000004,19.764999999999986,7.4089345790889105
11180,"Ames, IA",19015,Boone County,Iowa,"Ames, IA",11180,2024,303.1575,286.5375,16.620000000000005,5.800287920429259
11180,"Ames, IA",19015,Boone County,Iowa,"Ames, IA",11180,2025,308.14,303.1575,4.982499999999959,1.6435351261308018
11180,"Ames, IA",19169,Story County,Iowa,"Ames, IA",11180,2022,266.77250000000004,238.13,28.64250000000004,12.02809389829087
11180,"Ames, IA",19169,Story County,Iowa,"Ames, IA",11180,2023,286.5375,266.77250000000004,19.764999999999986,7.4089345790889105
11180,"Ames, IA",19169,Story County,Iowa,"Ames, IA",11180,2024,303.1575,286.5375,16.620000000000005,5.800287920429259
11180,"Ames, IA",19169,Story County,Iowa,"Ames, IA",11180,2025,308.14,303.1575,4.982499999999959,1.6435351261308018
11200,"Amherst Town-Northampton, MA",25015,Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",11200,2022,301.1775,264.92,36.25749999999999,13.68620715687754
11200,"Amherst Town-Northampton, MA",25015,Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",11200,2023,323.1275,301.1775,21.94999999999999,7.288061027135151
11200,"Amherst Town-Northampton, MA",25015,Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",11200,2024,343.48,323.1275,20.35250000000002,6.2985973029222375
11200,"Amherst Town-Northampton, MA",25015,Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",11200,2025,370.95500000000004,343.48,27.475000000000023,7.999010131594275
11260,"Anchorage, AK",02020,Anchorage Municipality,Alaska,"Anchorage, AK",11260,2022,286.2575,257.495,28.76249999999999,11.170119808151613
11260,"Anchorage, AK",02020,Anchorage Municipality,Alaska,"Anchorage, AK",11260,2023,302.95500000000004,286.2575,16.697500000000048,5.833034942315929
