FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,STATE
01089,2018,2,32.0,AL
01089,2019,1,4.0,AL
01089,2020,1,5.0,AL
01091,2003,15,98.9,AL
01091,2004,19,199.9,AL
01091,2005,25,271.0,AL
01091,2006,56,1379.65,AL
01091,2007,51,622.87,AL
01091,2008,17,90.7,AL
01091,2009,10,103.4,AL
01091,2010,21,518.05,AL
01091,2011,17,233.3,AL
01091,2012,26,98.5,AL
01091,2013,10,104.66,AL
01091,2014,34,189.66,AL
01091,2015,35,586.65,AL
01091,2016,38,388.11,AL
01091,2017,15,61.51,AL
01091,2018,14,171.65,AL
01091,2019,18,37.1,AL
01091,2020,9,35.25,AL
01093,2003,36,256.4,AL
01093,2004,36,576.45,AL
01093,2005,36,404.2,AL
01093,2006,76,729.45,AL
01093,2007,57,423.7,AL
01093,2008,38,285.87,AL
01093,2009,24,243.0,AL
01093,2010,26,227.52,AL
01093,2011,21,90.35,AL
01093,2012,37,350.5,AL
01093,2013,36,437.6,AL
01093,2014,67,765.45,AL
01093,2015,52,300.0,AL
01093,2016,76,363.42,AL
01093,2017,25,170.25,AL
01093,2018,19,147.05,AL
01093,2019,22,67.85,AL
01093,2020,10,56.35,AL
01095,2003,11,137.5,AL
01095,2004,4,23.0,AL
01095,2005,14,130.5,AL
01095,2006,31,663.5,AL
01095,2007,27,528.7,AL
01095,2008,13,139.25,AL
01095,2009,6,92.25,AL
01095,2010,15,84.85,AL
01095,2011,12,127.52,AL
01095,2012,7,249.0,AL
01095,2013,8,155.2,AL
01095,2014,21,123.4,AL
01095,2015,20,111.1,AL
01095,2016,67,409.55,AL
01095,2017,12,126.0,AL
01095,2018,2,7.0,AL
01095,2019,5,64.5,AL
01097,2003,174,2992.15,AL
01097,2004,365,4004.0,AL
01097,2005,221,8210.7,AL
01097,2006,297,7838.65,AL
01097,2007,209,5300.9,AL
01097,2008,138,2361.4,AL
01097,2009,125,5038.75,AL
01097,2010,73,1224.15,AL
01097,2011,105,3893.75,AL
01097,2012,89,2045.5,AL
01097,2013,130,3469.8,AL
01097,2014,121,2721.35,AL
01097,2015,96,3326.05,AL
01097,2016,104,3333.17,AL
01097,2017,49,1149.65,AL
01097,2018,65,825.7,AL
01097,2019,58,2287.86,AL
01097,2020,47,2399.6,AL
01099,2003,19,111.8,AL
01099,2004,27,390.4,AL
01099,2005,42,381.59999999999997,AL
01099,2006,72,1130.9,AL
01099,2007,39,208.2,AL
01099,2008,35,489.6,AL
01099,2009,39,157.6,AL
01099,2010,27,148.45,AL
01099,2011,28,260.9,AL
01099,2012,27,148.5,AL
01099,2013,24,231.3,AL
01099,2014,23,173.3,AL
01099,2015,35,264.5,AL
01099,2016,11,53.25,AL
01099,2017,24,563.25,AL
01099,2018,9,16.8,AL
01099,2019,17,94.6,AL
01099,2020,7,114.1,AL
01101,2003,7,106.0,AL
01101,2004,10,83.5,AL
01101,2005,7,53.0,AL
01101,2006,2,49.0,AL
