county_fips5,yr,index_nsa_pred
5111,2023,255.6666325666365
5111,2024,296.39415207996996
5111,2025,341.69173690436736
5113,2021,186.06
5113,2022,208.73295721699435
5113,2023,234.95114021392087
5113,2024,264.1725655276625
5113,2025,298.9702972232624
5115,2021,274.74
5115,2022,317.0617727219023
5115,2023,361.2785588859241
5115,2024,415.1120174283779
5115,2025,481.5400943717731
5119,2021,506.87
5119,2022,600.7470153969048
5119,2023,703.8037822583683
5119,2024,812.9925053075955
5119,2025,932.0298819945158
5121,2021,170.67
5121,2022,182.06874495886012
5121,2023,188.8431487275245
5121,2024,196.40852666988883
5121,2025,205.16136080683225
5123,2021,141.46
5123,2022,141.5309124981216
5123,2023,143.75360041726066
5123,2024,144.0679525291459
5123,2025,144.16450903618536
5125,2021,231.0
5125,2022,275.0326486069835
5125,2023,321.5446252535253
5125,2024,369.5023385546114
5125,2025,428.5558086361822
5127,2021,148.0
5127,2022,147.78957687962568
5127,2023,153.967925055967
5127,2024,161.41679235312503
5127,2025,169.09814640431304
5129,2021,132.86
5129,2022,133.8833596140586
5129,2023,136.5189699457377
5129,2024,139.51729005677873
5129,2025,147.58958564145422
5131,2021,438.28
5131,2022,510.424579968523
5131,2023,598.8154554919607
5131,2024,692.9662240272232
5131,2025,791.2062457694565
5133,2021,185.69
5133,2022,202.91171199531524
5133,2023,220.48529448763597
5133,2024,242.13225102754717
5133,2025,269.3478028301227
5135,2021,172.39
5135,2022,186.42792904075432
5135,2023,206.94754993397635
5135,2024,244.60979095494173
5135,2025,286.10342891891924
5137,2021,173.05
5137,2022,177.0257174205923
5137,2023,185.0641360075915
5137,2024,193.4786503313567
5137,2025,205.08093060014272
5139,2021,198.41
5139,2022,210.025221164258
5139,2023,232.81849906413257
5139,2024,273.22400777915686
5139,2025,319.5549953509142
5141,2021,162.82
5141,2022,167.394339313486
5141,2023,174.3915870150483
5141,2024,183.6926376712485
5141,2025,196.89528452219176
5143,2021,611.0
5143,2022,686.2615000576648
5143,2023,771.7930669965344
5143,2024,879.775625866631
5143,2025,1004.2387941122907
5145,2021,273.49
