fips,year,prop_rate
1073,2008,0.361
1073,2009,0.366
1073,2010,0.366
1073,2011,0.366
1073,2012,0.366
1073,2013,0.366
1073,2014,0.378
1073,2015,0.385
1073,2016,
1073,2017,
1073,2018,
1073,2019,
1073,2020,
1075,2000,
1075,2001,
1075,2002,
1075,2003,0.27
1075,2004,0.27
1075,2005,0.27
1075,2006,0.27
1075,2007,0.3
1075,2008,0.3
1075,2009,0.3
1075,2010,0.3
1075,2011,0.3
1075,2012,0.3
1075,2013,0.3
1075,2014,0.3
1075,2015,0.3
1075,2016,
1075,2017,
1075,2018,
1075,2019,
1075,2020,
1077,2000,
1077,2001,
1077,2002,
1077,2003,0.345
1077,2004,0.345
1077,2005,0.345
1077,2006,0.345
1077,2007,0.345
1077,2008,0.345
1077,2009,0.345
1077,2010,0.345
1077,2011,0.345
1077,2012,0.345
1077,2013,0.345
1077,2014,0.345
1077,2015,0.345
1077,2016,
1077,2017,
1077,2018,
1077,2019,
1077,2020,
1079,2000,
1079,2001,
1079,2002,
1079,2003,0.29500002
1079,2004,0.29500002
1079,2005,0.29500002
1079,2006,0.29500002
1079,2007,0.305
1079,2008,0.305
1079,2009,0.305
1079,2010,0.305
1079,2011,0.305
1079,2012,0.305
1079,2013,0.305
1079,2014,0.305
1079,2015,0.305
1079,2016,
1079,2017,
1079,2018,
1079,2019,
1079,2020,
1081,2000,
1081,2001,
1081,2002,
1081,2003,0.33499998
1081,2004,0.33499998
1081,2005,0.33499998
1081,2006,0.33499998
1081,2007,0.33499998
1081,2008,0.33499998
1081,2009,0.33499998
1081,2010,0.33499998
1081,2011,0.33499998
1081,2012,0.33499998
1081,2013,0.33499998
1081,2014,0.33499998
1081,2015,0.33499998
1081,2016,
1081,2017,
1081,2018,
1081,2019,
1081,2020,
1083,2000,
1083,2001,
1083,2002,
1083,2003,0.305
1083,2004,0.305
1083,2005,0.305
1083,2006,0.305
1083,2007,0.29
1083,2008,0.29
1083,2009,0.29
1083,2010,0.29
1083,2011,0.29
1083,2012,0.29
1083,2013,0.29
1083,2014,0.29
1083,2015,0.29
1083,2016,
1083,2017,
1083,2018,
1083,2019,
1083,2020,
1085,2000,
1085,2001,
1085,2002,
1085,2003,0.42
1085,2004,0.42
1085,2005,0.42
1085,2006,0.42
1085,2007,0.435
1085,2008,0.435
1085,2009,0.435
1085,2010,0.435
1085,2011,0.435
1085,2012,0.435
1085,2013,0.435
1085,2014,0.435
1085,2015,0.435
1085,2016,
1085,2017,
1085,2018,
1085,2019,
1085,2020,
1087,2000,
1087,2001,
1087,2002,
1087,2003,0.495
1087,2004,0.495
1087,2005,0.495
1087,2006,0.495
1087,2007,0.495
1087,2008,0.495
1087,2009,0.495
1087,2010,0.495
1087,2011,0.495
1087,2012,0.495
1087,2013,0.495
1087,2014,0.495
1087,2015,0.495
1087,2016,
1087,2017,
1087,2018,
1087,2019,
1087,2020,
1089,2000,
1089,2001,
1089,2002,
1089,2003,0.37
1089,2004,0.37
1089,2005,0.37
1089,2006,0.37
1089,2007,0.37
1089,2008,0.37
1089,2009,0.37
1089,2010,0.37
1089,2011,0.37
1089,2012,0.37
1089,2013,0.37
1089,2014,0.37
1089,2015,0.37
1089,2016,
1089,2017,
1089,2018,
1089,2019,
1089,2020,
1091,2000,
1091,2001,
1091,2002,
1091,2003,0.34
1091,2004,0.34
1091,2005,0.34
1091,2006,0.34
1091,2007,0.34
1091,2008,0.34
1091,2009,0.34
1091,2010,0.34
1091,2011,0.34
1091,2012,0.34
1091,2013,0.34
1091,2014,0.34
1091,2015,0.34
1091,2016,
1091,2017,
1091,2018,
1091,2019,
1091,2020,
1093,2000,
1093,2001,
1093,2002,
1093,2003,0.22
1093,2004,0.22
1093,2005,0.22
1093,2006,0.22
1093,2007,0.22
1093,2008,0.22
1093,2009,0.22
1093,2010,0.22
1093,2011,0.22
1093,2012,0.22
1093,2013,0.21
1093,2014,0.21
1093,2015,0.21
1093,2016,
1093,2017,
1093,2018,
1093,2019,
1093,2020,
1095,2000,
1095,2001,
1095,2002,
1095,2003,0.3025
1095,2004,0.3025
1095,2005,0.3025
1095,2006,0.3025
1095,2007,0.3125
1095,2008,0.3125
