"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"13261",250,15797000
2000,"13263",58,3412000
2000,"13265",6,238000
2000,"13267",140,6118000
2000,"13269",61,2997000
2000,"13271",53,2855000
2000,"13273",63,3855000
2000,"13275",331,21011000
2000,"13277",364,25766000
2000,"13279",164,8478000
2000,"13281",28,3316000
2000,"13283",37,1623000
2000,"13285",442,41490000
2000,"13287",83,4227000
2000,"13289",41,2291000
2000,"13291",95,8813000
2000,"13293",170,11077000
2000,"13295",868,61445000
2000,"13297",1296,151783000
2000,"13299",247,12995000
2000,"13301",60,3262000
2000,"13303",108,5729000
2000,"13305",251,13728000
2000,"13307",9,482000
2000,"13309",13,621000
2000,"13311",221,19773000
2000,"13313",1041,89678000
2000,"13315",25,1012000
2000,"13317",70,4859000
2000,"13319",70,3423000
2000,"13321",202,11403000
2000,"15001",1277,194005000
2000,"15003",7136,1404498000
2000,"15007",456,81913000
2000,"15009",1584,310573000
2000,"16001",7970,956763000
2000,"16003",20,1590000
2000,"16005",1230,104168000
2000,"16007",43,3440000
2000,"16009",47,3884000
2000,"16011",364,28794000
2000,"16013",392,85153000
2000,"16015",82,8224000
2000,"16017",415,43576000
2000,"16019",1053,93829000
2000,"16021",82,8064000
2000,"16023",22,1091000
2000,"16025",11,766000
2000,"16027",2915,262216000
2000,"16029",46,3843000
2000,"16031",108,8241000
2000,"16033",6,234000
2000,"16035",53,4010000
2000,"16037",29,2022000
2000,"16039",340,30201000
2000,"16041",84,6908000
2000,"16043",97,7770000
2000,"16045",215,20141000
2000,"16047",97,6583000
2000,"16049",73,5149000
2000,"16051",181,15398000
2000,"16053",162,13060000
2000,"16055",1914,194598000
2000,"16057",356,36887000
2000,"16059",55,4664000
2000,"16061",26,2029000
2000,"16063",42,3024000
2000,"16065",128,11101000
2000,"16067",87,6077000
2000,"16069",344,30751000
2000,"16071",30,2428000
2000,"16073",95,6845000
2000,"16075",252,20478000
2000,"16077",51,3830000
2000,"16079",115,6430000
2000,"16081",110,11122000
2000,"16083",695,61896000
2000,"16085",109,13258000
2000,"16087",94,7412000
2000,"17001",301,19388000
2000,"17003",66,2899000
2000,"17005",148,9097000
2000,"17007",902,100175000
2000,"17009",6,321000
2000,"17011",265,17964000
2000,"17013",14,821000
2000,"17015",73,4532000
2000,"17017",45,2204000
2000,"17019",2481,220961000
2000,"17021",313,17943000
2000,"17023",87,5846000
2000,"17025",41,1950000
2000,"17027",453,37679000
2000,"17029",369,26382000
2000,"17031",80654,12728984000
2000,"17033",108,5636000
2000,"17035",62,3191000
2000,"17037",1235,138379000
2000,"17039",133,16027000
2000,"17041",147,9587000
2000,"17043",19551,3298874000
2000,"17045",60,3625000
2000,"17047",21,871000
2000,"17049",168,14336000
2000,"17051",97,5290000
2000,"17053",77,5114000
2000,"17055",255,11786000
2000,"17057",270,15624000
2000,"17059",34,1679000
