IBRC_Geo_ID,Year,Total Population
1055,2013,103891
1055,2014,103417
1055,2015,103033
1055,2016,102931
1055,2017,103076
1055,2018,102766
1055,2019,102460
1055,2020,103437
1055,2021,102887
1055,2022,102821
1055,2023,103174
1055,2024,103207
1057,2000,18512
1057,2001,18384
1057,2002,18278
1057,2003,18178
1057,2004,18022
1057,2005,18030
1057,2006,17767
1057,2007,17523
1057,2008,17541
1057,2009,17310
1057,2010,17232
1057,2011,17061
1057,2012,16955
1057,2013,16837
1057,2014,16784
1057,2015,16711
1057,2016,16581
1057,2017,16478
1057,2018,16451
1057,2019,16279
1057,2020,16329
1057,2021,16119
1057,2022,16041
1057,2023,15913
1057,2024,15863
1059,2000,31242
1059,2001,31190
1059,2002,30891
1059,2003,30874
1059,2004,30768
1059,2005,30968
1059,2006,31134
1059,2007,31004
1059,2008,31459
1059,2009,31589
1059,2010,31746
1059,2011,31776
1059,2012,31699
1059,2013,31566
1059,2014,31572
1059,2015,31532
1059,2016,31674
1059,2017,31670
1059,2018,31495
1059,2019,31587
1059,2020,32076
1059,2021,31991
1059,2022,31947
1059,2023,31941
1059,2024,31874
1061,2000,25740
1061,2001,25565
1061,2002,25580
1061,2003,25702
1061,2004,25772
1061,2005,25988
1061,2006,26271
1061,2007,26322
1061,2008,26646
1061,2009,26653
1061,2010,26778
1061,2011,26758
1061,2012,26928
1061,2013,26688
1061,2014,26605
1061,2015,26645
1061,2016,26497
1061,2017,26404
1061,2018,26296
1061,2019,26309
1061,2020,26703
1061,2021,26632
1061,2022,26787
1061,2023,27052
1061,2024,27259
1063,2000,9902
1063,2001,9866
1063,2002,9893
1063,2003,9805
1063,2004,9686
1063,2005,9675
1063,2006,9361
1063,2007,9385
1063,2008,9359
1063,2009,9182
1063,2010,8990
1063,2011,8903
1063,2012,8849
1063,2013,8749
1063,2014,8585
1063,2015,8509
1063,2016,8485
1063,2017,8312
1063,2018,8212
1063,2019,8104
1063,2020,7701
1063,2021,7583
1063,2022,7412
1063,2023,7299
1063,2024,7127
1065,2000,18194
1065,2001,17868
1065,2002,17376
1065,2003,17116
1065,2004,16765
1065,2005,16622
1065,2006,16427
1065,2007,16418
1065,2008,16260
1065,2009,16025
1065,2010,15745
1065,2011,15360
1065,2012,15366
1065,2013,15249
1065,2014,15047
1065,2015,15016
1065,2016,14845
1065,2017,14812
1065,2018,14773
1065,2019,14669
1065,2020,14771
1065,2021,14715
1065,2022,14613
1065,2023,14931
1065,2024,15116
1067,2000,16341
1067,2001,16358
1067,2002,16447
1067,2003,16563
1067,2004,16692
1067,2005,16752
1067,2006,16953
1067,2007,17108
1067,2008,17129
1067,2009,17243
1067,2010,17293
1067,2011,17377
1067,2012,17152
1067,2013,17128
1067,2014,17074
1067,2015,17097
1067,2016,17062
1067,2017,17105
1067,2018,17100
1067,2019,17125
1067,2020,17171
1067,2021,17412
1067,2022,17638
1067,2023,17872
1067,2024,18141
1069,2000,88943
1069,2001,89490
1069,2002,89940
1069,2003,91321
1069,2004,92593
1069,2005,93903
1069,2006,95846
1069,2007,97727
1069,2008,99183
1069,2009,100500
1069,2010,101800
1069,2011,102509
1069,2012,103410
1069,2013,103691
1069,2014,104216
1069,2015,104326
1069,2016,104355
1069,2017,104472
1069,2018,104943
1069,2019,106240
1069,2020,107300
1069,2021,107412
1069,2022,108063
1069,2023,108556
1069,2024,109366
1071,2000,53979
1071,2001,53997
1071,2002,53758
1071,2003,53711
1071,2004,53525
1071,2005,53332
1071,2006,53483
1071,2007,53333
1071,2008,53525
1071,2009,53461
1071,2010,53207
1071,2011,53240
1071,2012,53107
1071,2013,52986
1071,2014,52592
1071,2015,52229
1071,2016,52058
1071,2017,51865
1071,2018,51649
1071,2019,51672
1071,2020,52532
1071,2021,52688
1071,2022,52842
1071,2023,53423
1071,2024,53780
1073,2000,662033
1073,2001,660197
1073,2002,657518
1073,2003,657513
1073,2004,656023
1073,2005,654919
1073,2006,655893
1073,2007,655163
1073,2008,656510
1073,2009,658441
1073,2010,658230
1073,2011,658175
1073,2012,658183
1073,2013,659434
1073,2014,660185
1073,2015,660717
1073,2016,660507
1073,2017,659892
1073,2018,659672
1073,2019,658539
1073,2020,674727
1073,2021,669677
1073,2022,665543
1073,2023,664084
1073,2024,664744
1075,2000,15923
1075,2001,15632
1075,2002,15446
1075,2003,15258
1075,2004,15075
1075,2005,15009
1075,2006,14816
1075,2007,14901
1075,2008,14799
1075,2009,14689
1075,2010,14496
1075,2011,14292
1075,2012,14250
1075,2013,14214
1075,2014,14071
1075,2015,13931
1075,2016,13926
1075,2017,13885
1075,2018,13878
1075,2019,13817
1075,2020,13954
1075,2021,13725
1075,2022,13628
1075,2023,13616
1075,2024,13543
1077,2000,88039
1077,2001,87791
1077,2002,87627
1077,2003,88103
1077,2004,88732
1077,2005,89358
1077,2006,90294
1077,2007,91107
1077,2008,92202
1077,2009,92526
1077,2010,92738
1077,2011,92615
1077,2012,92687
1077,2013,92738
1077,2014,93049
1077,2015,92524
1077,2016,92521
1077,2017,92701
1077,2018,92733
1077,2019,93028
1077,2020,94031
1077,2021,94846
1077,2022,95903
1077,2023,96867
1077,2024,97502
1079,2000,34874
1079,2001,34870
1079,2002,34698
1079,2003,34488
1079,2004,34318
1079,2005,34435
1079,2006,34028
1079,2007,34293
1079,2008,34196
1079,2009,34315
1079,2010,34314
1079,2011,34026
1079,2012,33782
1079,2013,33553
1079,2014,33423
1079,2015,33116
1079,2016,33196
1079,2017,33035
1079,2018,32905
1079,2019,32851
1079,2020,33075
1079,2021,33052
1079,2022,33182
1079,2023,33505
1079,2024,33567
1081,2000,115430
1081,2001,116819
1081,2002,118392
1081,2003,120071
1081,2004,122274
1081,2005,126133
1081,2006,129247
1081,2007,131934
1081,2008,134524
1081,2009,138566
1081,2010,140815
1081,2011,144194
1081,2012,148670
1081,2013,151943
1081,2014,154682
1081,2015,157162
1081,2016,159446
1081,2017,161808
1081,2018,164206
1081,2019,165015
1081,2020,174856
1081,2021,177652
1081,2022,181044
1081,2023,184271
1081,2024,187847
1083,2000,65966
1083,2001,66936
1083,2002,67677
1083,2003,68578
1083,2004,69593
1083,2005,71303
1083,2006,73651
1083,2007,76063
1083,2008,78835
1083,2009,81326
1083,2010,83168
1083,2011,85553
1083,2012,87336
1083,2013,88931
1083,2014,90622
1083,2015,91596
1083,2016,92896
1083,2017,94144
1083,2018,96199
1083,2019,99136
1083,2020,104209
1083,2021,107285
1083,2022,110926
1083,2023,114803
1083,2024,118942
1085,2000,13471
