FIPS,State,County,mean_actual_hpi_change,pred_full,pred_lags_macro,climate_contribution,nri_wildfire_risk,nri_hurricane_risk,nri_coastal_flood_risk,nri_inland_flood_risk,nri_drought_risk,nri_heatwave_risk,nri_tornado_risk,nri_overall_risk_score,nri_risk_percentile,composite_climate_risk_score,climate_risk_rank
20177,KS,Shawnee,7.394285714285714,7.1466203,7.3554177,-0.20879756,75.31806615776081,0.0,,89.98091603053437,46.78753180661578,94.9582530507386,95.86513994910942,88.04071246819338,88.04071246819338,71.37,341
34021,NJ,Mercer,8.267142857142858,6.8694177,6.554342,0.31507567,73.44147582697201,94.61827284105131,56.8,97.16921119592877,62.086513994910945,95.79319203596661,81.90203562340967,95.35623409669213,95.35623409669213,71.35,342
47113,TN,Madison,9.755714285714285,7.796558,7.7140203,0.08253772,43.320610687022906,62.20275344180225,,72.64631043256999,55.24809160305344,91.6184971098266,97.20101781170484,92.08015267175573,92.08015267175573,71.35,342
45019,SC,Charleston,9.62857142857143,9.219934,8.664343,0.5555915,93.86132315521628,99.62453066332917,99.8,89.85368956743001,35.43256997455471,82.69107257546563,71.02417302798982,98.6323155216285,98.6323155216285,71.3,344
48375,TX,Potter,5.96,6.062389,6.0862527,-0.023863554,95.13358778625954,0.0,,68.03435114503816,95.48346055979644,70.87347463070006,97.70992366412212,90.48982188295165,90.48982188295165,71.3,344
36103,NY,Suffolk,7.904285714285714,7.3330693,6.8673463,0.4657232,73.37786259541986,96.82937004589068,98.6,98.31424936386767,14.917302798982188,94.66923570969814,74.74554707379136,97.32824427480917,97.32824427480917,71.28,346
25027,MA,Worcester,8.121428571428572,7.8478956,7.6497536,0.19814192,62.59541984732826,96.62077596996245,,95.29262086513997,72.64631043256999,89.94861913937059,82.22010178117048,93.54325699745549,93.54325699745549,71.27,347
53033,WA,King,6.658571428571428,6.770073,6.1346297,0.6354434,79.45292620865139,,71.0,99.45928753180662,13.740458015267176,98.16955684007709,73.15521628498728,99.68193384223919,99.68193384223919,71.27,347
18057,IN,Hamilton,8.572857142857142,7.924971,8.053283,-0.12831245,20.29262086513995,25.615352523988317,,91.06234096692113,51.463104325699746,85.96660244059088,96.75572519083968,88.80407124681933,88.80407124681933,71.19,349
27111,MN,Otter Tail,7.098571428571428,7.323884,8.121685,-0.7978007,79.32569974554707,,,83.42875318066157,53.0852417302799,42.35709698137444,84.16030534351145,79.38931297709924,79.38931297709924,71.18,350
